at,userName,content,score
2021-12-04 15:37:52,dAnZ zeJax021,Good job buat pintu saya kasih 5 ..kembangkan terus & sukses..,5
2021-12-04 15:32:17,Miftah G,"Aplikasi ringan, deposit dan wd banyak pilihan, mudah di pelajari dan di gunakan sangat cocok untuk pemula yang masih belajar karna minimum tradingnya kecil. Sukses untuk Pintu... 😊",5
2021-12-04 15:04:23,Agustinus DJ Kurniawan,Kenapa utk Crypto Solana tdk bisa dilakukan pembelian?,3
2021-12-04 14:45:51,sakti Indra yudha,"Mau bikin koin hebat, apa cari cuan aja, emang masih kurang kaya? bkin koin di harga btc turun, masa gatahu btc mau turun, liat grafik koin pintunya rata turun bosss..",4
2021-12-04 14:36:22,G-MIN n,"Semakin susah kirim idrt ke binance,ngga seperti dulu lagi.....",3
2021-12-04 14:30:44,aang setiawan,Cara ganti no hp gimana,2
2021-12-04 14:17:14,Titik Puji Astuti,Mantap ini aplikasi... Kirim aja lama seharian g bisa2...,1
2021-12-04 14:16:29,Andi Safarah,Lagi coba dulu,2
2021-12-04 14:06:49,Nadhif Ramdhani,Perlu ditingkatkan lagi,1
2021-12-04 13:52:09,Ginanjar Wido,Versi sahamnya kapan diterbitkan??,5
2021-12-04 12:45:38,Senja Bela,@ r a f f a e l l 9 7=nicname nya jangan lupa ya buat pengguna baru ada bonusnya lo<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5
2021-12-04 12:24:48,Seli Lina,kone referalnya @ r a f f a e l l 9 7 =bagi kalian yang baru gabung karna ada bonus buat pengguna baru<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5
2021-12-04 12:19:25,Cantik Cantikcantik,Good,5
2021-12-04 12:01:29,Ella Soraya,"bagus dan sangat mudah di gunakan,,jangan lupa isi nickname = @raffaell97 ;ada bonus buat pengguna baru lo<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!oke de",4
2021-12-04 11:26:47,Wa Felan,Baru mau coba jd 2 bintang dulu,2
