ulasan,rating,nilai
Good job buat pintu saya kasih 5 ..kembangkan terus & sukses..,5,POSITIF
"Aplikasi ringan, deposit dan wd banyak pilihan, mudah di pelajari dan di gunakan sangat cocok untuk pemula yang masih belajar karna minimum tradingnya kecil. Sukses untuk Pintu... 😊",5,POSITIF
Kenapa utk Crypto Solana tdk bisa dilakukan pembelian?,3,NEGATIF
"Mau bikin koin hebat, apa cari cuan aja, emang masih kurang kaya? bkin koin di harga btc turun, masa gatahu btc mau turun, liat grafik koin pintunya rata turun bosss..",4,POSITIF
"Semakin susah kirim idrt ke binance,ngga seperti dulu lagi.....",3,NEGATIF
Cara ganti no hp gimana,2,NEGATIF
Mantap ini aplikasi... Kirim aja lama seharian g bisa2...,1,NEGATIF
Lagi coba dulu,2,NEGATIF
Perlu ditingkatkan lagi,1,NEGATIF
Versi sahamnya kapan diterbitkan??,5,POSITIF
@ r a f f a e l l 9 7=nicname nya jangan lupa ya buat pengguna baru ada bonusnya lo<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5,POSITIF
kone referalnya @ r a f f a e l l 9 7 =bagi kalian yang baru gabung karna ada bonus buat pengguna baru<!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5,POSITIF
Good,5,POSITIF
